# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	pseudogene	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	2282074	2282705	-							BA_RS11765	632		pseudo
CDS	without_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	2282074	2282705	-				cupin domain-containing protein			BA_RS11765	632		pseudo
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	2282935	2283240	+							BA_RS11770	306		old_locus_tag=BA2452,BA_2452
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	2282935	2283240	+	WP_000010325.1	WP_000010325.1		DUF5519 family protein			BA_RS11770	306	101	
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	2283335	2284645	+							BA_RS11775	1311		old_locus_tag=BA2453,BA_2453
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	2283335	2284645	+	WP_000787579.1	WP_000787579.1		FAD-dependent oxidoreductase			BA_RS11775	1311	436	
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	2284623	2285492	+							BA_RS11780	870		old_locus_tag=BA2454,BA_2454
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	2284623	2285492	+	WP_000447156.1	WP_000447156.1		sigma-70 family RNA polymerase sigma factor			BA_RS11780	870	289	
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	2285532	2285690	-							BA_RS27210	159		old_locus_tag=BA2455,BA_2455
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	2285532	2285690	-	WP_001100984.1	WP_001100984.1		hypothetical protein			BA_RS27210	159	52	
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	2286004	2286588	+							BA_RS11785	585		old_locus_tag=BA2457,BA_2457
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	2286004	2286588	+	WP_000380327.1	WP_000380327.1		class I SAM-dependent methyltransferase			BA_RS11785	585	194	
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	2286902	2288014	+							BA_RS11790	1113		old_locus_tag=BA2458,BA_2458
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	2286902	2288014	+	WP_000137402.1	WP_000137402.1		toxic anion resistance protein			BA_RS11790	1113	370	
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	2288039	2288872	+							BA_RS11795	834		old_locus_tag=BA2459,BA_2459
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	2288039	2288872	+	WP_000008364.1	WP_000008364.1		DUF3974 domain-containing protein			BA_RS11795	834	277	
gene	pseudogene	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	2288926	2290486	-							BA_RS11800	1561		pseudo;old_locus_tag=BA2460,BA_2460
CDS	without_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	2288926	2290486	-				family 10 glycosylhydrolase			BA_RS11800	1561		pseudo
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	2290428	2290568	+							BA_RS11805	141		old_locus_tag=BA2461,BA_2461
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	2290428	2290568	+	WP_000676206.1	WP_000676206.1		hypothetical protein			BA_RS11805	141	46	
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	2290714	2291019	+							BA_RS11810	306		old_locus_tag=BA2462,BA_2462
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	2290714	2291019	+	WP_000865898.1	WP_000865898.1		PTS sugar transporter subunit IIB			BA_RS11810	306	101	
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	2291031	2292317	+							BA_RS11815	1287		old_locus_tag=BA2463,BA_2463
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	2291031	2292317	+	WP_001032286.1	WP_001032286.1		PTS sugar transporter subunit IIC			BA_RS11815	1287	428	
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	2292397	2292663	+							BA_RS11820	267		old_locus_tag=BA2464,BA_2464
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	2292397	2292663	+	WP_001021956.1	WP_001021956.1		hypothetical protein			BA_RS11820	267	88	
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	2292686	2293834	+					anmK		BA_RS11825	1149		old_locus_tag=BA2465,BA_2465
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	2292686	2293834	+	WP_000274995.1	WP_000274995.1		anhydro-N-acetylmuramic acid kinase AnmK	anmK		BA_RS11825	1149	382	
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	2293855	2294766	+							BA_RS11830	912		old_locus_tag=BA2466,BA_2466
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	2293855	2294766	+	WP_000876631.1	WP_000876631.1		ATPase			BA_RS11830	912	303	
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	2294899	2295447	+					plsY		BA_RS11835	549		old_locus_tag=BA2467,BA_2467
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	2294899	2295447	+	WP_000610855.1	WP_000610855.1		glycerol-3-phosphate 1-O-acyltransferase PlsY	plsY		BA_RS11835	549	182	
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	2295518	2297101	+							BA_RS11840	1584		old_locus_tag=BA2468,BA_2468
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	2295518	2297101	+	WP_000523072.1	WP_000523072.1		aminotransferase class V-fold PLP-dependent enzyme			BA_RS11840	1584	527	
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	2297188	2298189	+					tdcB		BA_RS11845	1002		old_locus_tag=BA2469,BA_2469
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	2297188	2298189	+	WP_000628905.1	WP_000628905.1		bifunctional threonine ammonia-lyase/L-serine ammonia-lyase TdcB	tdcB		BA_RS11845	1002	333	
gene	pseudogene	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	2298236	2298564	-							BA_RS11850	329		pseudo
CDS	without_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	2298236	2298564	-				DUF1232 domain-containing protein			BA_RS11850	329		pseudo
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	2299143	2299403	+							BA_RS11855	261		
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	2299143	2299403	+	WP_000513518.1	WP_000513518.1		hypothetical protein			BA_RS11855	261	86	
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	2299533	2300219	+							BA_RS11860	687		old_locus_tag=BA2472,BA_2472
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	2299533	2300219	+	WP_000691150.1	WP_000691150.1		MBL fold metallo-hydrolase			BA_RS11860	687	228	
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	2300263	2301054	-							BA_RS11865	792		old_locus_tag=BA2473,BA_2473
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	2300263	2301054	-	WP_003171295.1	WP_003171295.1		hypothetical protein			BA_RS11865	792	263	
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	2301084	2301353	+							BA_RS11870	270		old_locus_tag=BA2474,BA_2474
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	2301084	2301353	+	WP_000054536.1	WP_000054536.1		hypothetical protein			BA_RS11870	270	89	
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	2301427	2302779	+							BA_RS11875	1353		old_locus_tag=BA2475,BA_2475
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	2301427	2302779	+	WP_003162715.1	WP_003162715.1		DEAD/DEAH box helicase			BA_RS11875	1353	450	
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	2302961	2303221	+							BA_RS11880	261		old_locus_tag=BA2476,BA_2476
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	2302961	2303221	+	WP_001177687.1	WP_001177687.1		hypothetical protein			BA_RS11880	261	86	
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	2304092	2304595	-							BA_RS11885	504		old_locus_tag=BA2477,BA_2477
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	2304092	2304595	-	WP_001257913.1	WP_001257913.1		hypothetical protein			BA_RS11885	504	167	
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	2305365	2306000	+							BA_RS11890	636		old_locus_tag=BA2479,BA_2479
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	2305365	2306000	+	WP_001220169.1	WP_001220169.1		TetR/AcrR family transcriptional regulator			BA_RS11890	636	211	
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	2306063	2307310	+							BA_RS11895	1248		old_locus_tag=BA2480,BA_2480
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	2306063	2307310	+	WP_000623651.1	WP_000623651.1		MFS transporter			BA_RS11895	1248	415	
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	2307317	2309656	+							BA_RS11900	2340		old_locus_tag=BA2481,BA_2481
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	2307317	2309656	+	WP_003171744.1	WP_003171744.1		ABC transporter permease			BA_RS11900	2340	779	
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	2309668	2310429	+							BA_RS11905	762		old_locus_tag=BA2482,BA_2482
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	2309668	2310429	+	WP_000721684.1	WP_000721684.1		ABC transporter ATP-binding protein			BA_RS11905	762	253	
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	2310528	2311238	+							BA_RS11910	711		old_locus_tag=BA2483,BA_2483
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	2310528	2311238	+	WP_000787474.1	WP_000787474.1		class I SAM-dependent methyltransferase			BA_RS11910	711	236	
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	2311359	2311766	+							BA_RS11915	408		old_locus_tag=BA2484,BA_2484
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	2311359	2311766	+	WP_000072501.1	WP_000072501.1		VOC family protein			BA_RS11915	408	135	
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	2312110	2312892	+							BA_RS11920	783		old_locus_tag=BA2485,BA_2485
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	2312110	2312892	+	WP_000381787.1	WP_000381787.1		class I SAM-dependent methyltransferase			BA_RS11920	783	260	
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	2313014	2314699	-							BA_RS11925	1686		old_locus_tag=BA2486,BA_2486
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	2313014	2314699	-	WP_009879073.1	WP_009879073.1		alpha-keto acid decarboxylase family protein			BA_RS11925	1686	561	
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	2314806	2315288	+							BA_RS11930	483		old_locus_tag=BA2487,BA_2487
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	2314806	2315288	+	WP_000191911.1	WP_000191911.1		MarR family winged helix-turn-helix transcriptional regulator			BA_RS11930	483	160	
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	2315456	2316193	+					gpmA		BA_RS11935	738		old_locus_tag=BA2488,BA_2488
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	2315456	2316193	+	WP_000594139.1	WP_000594139.1		2,3-diphosphoglycerate-dependent phosphoglycerate mutase	gpmA		BA_RS11935	738	245	
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	2316382	2317119	+							BA_RS11940	738		old_locus_tag=BA2490,BA_2490
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	2316382	2317119	+	WP_002036394.1	WP_002036394.1		type II toxin-antitoxin system SpoIISA family toxin			BA_RS11940	738	245	
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	2317232	2317357	+							BA_RS11945	126		old_locus_tag=BA2491,BA_2491
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	2317232	2317357	+	WP_000588712.1	WP_000588712.1		hypothetical protein			BA_RS11945	126	41	
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	2317434	2317610	+							BA_RS27215	177		old_locus_tag=BA2492,BA_2492
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	2317434	2317610	+	WP_000852614.1	WP_000852614.1		hypothetical protein			BA_RS27215	177	58	
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	2317647	2317928	-							BA_RS11950	282		old_locus_tag=BA2493,BA_2493
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	2317647	2317928	-	WP_001041555.1	WP_001041555.1		hypothetical protein			BA_RS11950	282	93	
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	2318205	2318441	-							BA_RS11955	237		old_locus_tag=BA2494,BA_2494
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	2318205	2318441	-	WP_001021689.1	WP_001021689.1		hypothetical protein			BA_RS11955	237	78	
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	2318780	2318956	+							BA_RS27220	177		
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	2318780	2318956	+	WP_000808045.1	WP_000808045.1		hypothetical protein			BA_RS27220	177	58	
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	2319100	2320569	+					pepD		BA_RS11960	1470		old_locus_tag=BA2498,BA_2498
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	2319100	2320569	+	WP_000287522.1	WP_000287522.1		beta-Ala-His dipeptidase	pepD		BA_RS11960	1470	489	
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	2321133	2321603	-							BA_RS11965	471		old_locus_tag=BA2500,BA_2500
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	2321133	2321603	-	WP_000670597.1	WP_000670597.1		DUF5065 family protein			BA_RS11965	471	156	
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	2321780	2322400	+							BA_RS11970	621		old_locus_tag=BA2501,BA_2501
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	2321780	2322400	+	WP_002036390.1	WP_002036390.1		SGNH/GDSL hydrolase family protein			BA_RS11970	621	206	
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	2322622	2323155	+							BA_RS11975	534		old_locus_tag=BA2502,BA_2502
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	2322622	2323155	+	WP_000438323.1	WP_000438323.1		sigma-70 family RNA polymerase sigma factor			BA_RS11975	534	177	
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	2323145	2323972	+							BA_RS11980	828		old_locus_tag=BA2503,BA_2503
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	2323145	2323972	+	WP_001060387.1	WP_001060387.1		hypothetical protein			BA_RS11980	828	275	
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	2323984	2325750	-							BA_RS11985	1767		old_locus_tag=BA2504,BA_2504
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	2323984	2325750	-	WP_000903320.1	WP_000903320.1		penicillin-binding protein 2			BA_RS11985	1767	588	
gene	pseudogene	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	2326115	2328246	+							BA_RS11990	2132		pseudo;old_locus_tag=BA2506,BA_2506
CDS	without_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	2326115	2328246	+				penicillin-binding protein 2			BA_RS11990	2132		pseudo
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	2328465	2329403	+					bla		BA_RS11995	939		old_locus_tag=BA2507,BA_2507
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	2328465	2329403	+	WP_009879786.1	WP_009879786.1		class A beta-lactamase Bla1	bla		BA_RS11995	939	312	
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	2329411	2330007	-							BA_RS12000	597		old_locus_tag=BA2508,BA_2508
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	2329411	2330007	-	WP_001107044.1	WP_001107044.1		undecaprenyl-diphosphatase			BA_RS12000	597	198	
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	2330216	2331217	+							BA_RS12005	1002		old_locus_tag=BA2509,BA_2509
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	2330216	2331217	+	WP_000805139.1	WP_000805139.1		LacI family transcriptional regulator			BA_RS12005	1002	333	
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	2331306	2332586	-							BA_RS12010	1281		old_locus_tag=BA2510,BA_2510
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	2331306	2332586	-	WP_000991764.1	WP_000991764.1		MFS transporter			BA_RS12010	1281	426	
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	2333079	2334104	+					iolG		BA_RS12015	1026		old_locus_tag=BA2511,BA_2511
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	2333079	2334104	+	WP_001101684.1	WP_001101684.1		inositol 2-dehydrogenase	iolG		BA_RS12015	1026	341	
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	2334204	2335202	+					iolC		BA_RS12020	999		old_locus_tag=BA2512,BA_2512
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	2334204	2335202	+	WP_001068616.1	WP_001068616.1		5-dehydro-2-deoxygluconokinase	iolC		BA_RS12020	999	332	
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	2335280	2336743	+							BA_RS12025	1464		old_locus_tag=BA2513,BA_2513
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	2335280	2336743	+	WP_000218128.1	WP_000218128.1		CoA-acylating methylmalonate-semialdehyde dehydrogenase			BA_RS12025	1464	487	
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	2336899	2338833	+					iolD		BA_RS12030	1935		old_locus_tag=BA2514,BA_2514
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	2336899	2338833	+	WP_001195355.1	WP_001195355.1		3D-(3,5/4)-trihydroxycyclohexane-1,2-dione acylhydrolase (decyclizing)	iolD		BA_RS12030	1935	644	
gene	pseudogene	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	2338956	2339851	+					iolE		BA_RS12035	896		pseudo;old_locus_tag=BA2515,BA_2515
CDS	without_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	2338956	2339851	+				myo-inosose-2 dehydratase	iolE		BA_RS12035	896		pseudo
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	2339980	2340825	+							BA_RS12040	846		old_locus_tag=BA2516,BA_2516
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	2339980	2340825	+	WP_001131822.1	WP_001131822.1		class II aldolase			BA_RS12040	846	281	
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	2340931	2341722	+							BA_RS12045	792		old_locus_tag=BA2517,BA_2517
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	2340931	2341722	+	WP_000900830.1	WP_000900830.1		5-deoxy-glucuronate isomerase			BA_RS12045	792	263	
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	2341915	2342121	-							BA_RS12050	207		old_locus_tag=BA2518,BA_2518
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	2341915	2342121	-	WP_000356669.1	WP_000356669.1		hypothetical protein			BA_RS12050	207	68	
gene	pseudogene	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	2342413	2342928	+							BA_RS12055	516		pseudo;old_locus_tag=BA2519,BA_2519
CDS	without_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	2342413	2342928	+				DinB family protein			BA_RS12055	516		pseudo
gene	pseudogene	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	2343235	2345186	+							BA_RS12060	1952		pseudo;old_locus_tag=BA2520,BA_2520
CDS	without_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	2343235	2345186	+				5'-nucleotidase C-terminal domain-containing protein			BA_RS12060	1952		pseudo
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	2345460	2345618	-							BA_RS12065	159		old_locus_tag=BA2521,BA_2521
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	2345460	2345618	-	WP_000721369.1	WP_000721369.1		Phr family secreted Rap phosphatase inhibitor			BA_RS12065	159	52	
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	2345618	2346718	-							BA_RS12070	1101		old_locus_tag=BA2522,BA_2522
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	2345618	2346718	-	WP_000217990.1	WP_000217990.1		RapH N-terminal domain-containing protein			BA_RS12070	1101	366	
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	2347258	2347458	+							BA_RS12075	201		old_locus_tag=BA2523,BA_2523
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	2347258	2347458	+	WP_000903071.1	WP_000903071.1		helix-turn-helix transcriptional regulator			BA_RS12075	201	66	
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	2347464	2347715	+							BA_RS12080	252		old_locus_tag=BA2524,BA_2524
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	2347464	2347715	+	WP_000964482.1	WP_000964482.1		hypothetical protein			BA_RS12080	252	83	
gene	pseudogene	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	2348268	2348521	-							BA_RS12085	254		pseudo;old_locus_tag=BA2525,BA_2525
CDS	without_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	2348268	2348521	-				hypothetical protein			BA_RS12085	254		pseudo
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	2348780	2349511	+							BA_RS12090	732		old_locus_tag=BA2526,BA_2526
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	2348780	2349511	+	WP_001220642.1	WP_001220642.1		M15 family metallopeptidase			BA_RS12090	732	243	
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	2349748	2350152	-							BA_RS12095	405		old_locus_tag=BA2527,BA_2527
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	2349748	2350152	-	WP_000495044.1	WP_000495044.1		DUF3221 domain-containing protein			BA_RS12095	405	134	
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	2351055	2352287	+							BA_RS12100	1233		old_locus_tag=BA2528,BA_2528
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	2351055	2352287	+	WP_000791599.1	WP_000791599.1		N-acetylmuramoyl-L-alanine amidase			BA_RS12100	1233	410	
gene	pseudogene	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	2352592	2353829	+					hlyII		BA_RS12105	1238		pseudo;old_locus_tag=BA2529,BA_2529
CDS	without_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	2352592	2353829	+				hemolysin II HlyII	hlyII		BA_RS12105	1238		pseudo
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	2354237	2354842	+					hlyIIR		BA_RS12110	606		old_locus_tag=BA2530,BA_2530
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	2354237	2354842	+	WP_000415767.1	WP_000415767.1		hemolysin II regulator HlyIIR	hlyIIR		BA_RS12110	606	201	
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	2354984	2356462	-							BA_RS12115	1479		old_locus_tag=BA2531,BA_2531
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	2354984	2356462	-	WP_000061778.1	WP_000061778.1		Lsa family ABC-F type ribosomal protection protein			BA_RS12115	1479	492	
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	2356856	2357062	-							BA_RS12120	207		old_locus_tag=BA2532,BA_2532
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	2356856	2357062	-	WP_000028144.1	WP_000028144.1		hypothetical protein			BA_RS12120	207	68	
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	2357474	2360203	+							BA_RS12125	2730		old_locus_tag=BA2533,BA_2533
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	2357474	2360203	+	WP_001225575.1	WP_001225575.1		EAL domain-containing protein			BA_RS12125	2730	909	
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	2360648	2361154	+							BA_RS12130	507		old_locus_tag=BA2534,BA_2534
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	2360648	2361154	+	WP_000470011.1	WP_000470011.1		GNAT family N-acetyltransferase			BA_RS12130	507	168	
gene	pseudogene	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	2361296	2361460	+							BA_RS12135	165		partial;pseudo;old_locus_tag=BA2535,BA_2535
CDS	without_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	2361296	2361460	+				glycerophosphodiester phosphodiesterase			BA_RS12135	165		partial;pseudo
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	2361726	2362133	-							BA_RS12140	408		old_locus_tag=BA2536,BA_2536
CDS	with_protein	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	2361726	2362133	-	WP_000677815.1	WP_000677815.1		SMI1/KNR4 family protein			BA_RS12140	408	135	
gene	protein_coding	GCF_000007845.1	Primary Assembly	chromosome		NC_003997.3	2362418	2363617	+							BA_RS12145	1200		old_locus_tag=BA2537,BA_2537
